lam,Smax,b,alpha,Perc,beta,gamma,S2max,k1,k2,Obj_Func
0.0010392526624498507,36936641078.83971,37.10798241661926,0.15636844768885622,92778.24874393971,0.005998530500262947,27.670462851864364,3396230456.055798,4.423980289815333e-05,1610062.4802974437,9.1941093907796
0.005437711994237341,6865938788.877355,23.083914931763108,0.7526733295194881,219099.05554702235,1e-05,17.69179349030039,3987975985.6473756,1.3549010253660875e-05,351421.05484809965,9.15578211617339
0.0011392031585170475,31267559818.59616,36.26007080688855,0.310076338574377,235818.5767173224,0.0029051451726429,42.322546478686334,2157643452.670046,4.024433173497462e-05,784952.9581317669,9.185918455837758
0.0001,37560000000.0,49.998558162410006,0.2140480512381868,235905.94856337341,0.0026496426731428997,50.0,7512000000.0,3.855191193080832e-05,2721542.148713793,11.128286034671047
0.0033708057290139015,10411373932.468603,46.9053029232069,0.3704619568548003,48149.09441430976,1e-05,42.02598425216319,5386607492.547306,9.717333156280673e-06,2535460.7781263115,9.345267848990181
0.0012725467528481766,37230853648.18141,50.0,0.7914819382377517,587.0129485040013,1.0453378016608588,12.002954731181555,4745893814.753044,2.6150550347020067e-05,2269204.4487811066,0.6310362794293357
0.0010465236996132674,37560000000.0,39.03394283294898,0.2134072457889236,3563.1134471088844,0.20600942323338653,20.661820702242398,1231539726.7893336,4.0747069178381923e-05,1742139.1127211235,0.630555086679872
0.001226268397737593,37558910726.87913,50.0,0.10554397720217155,166816.0760741243,0.0037258696030627028,4.669287849342319,5624910583.287188,2.6646266887861446e-05,1166124.9898127476,0.6314952019818495
0.0001,37560000000.0,49.999837780683606,0.2343753386439562,407.44117904272446,1.4638144542340754,23.714071190146342,7467998277.634352,3.88272105728717e-05,841900.2110337194,0.923818973294033
0.0001,37560000000.0,50.0,0.4559685461144123,0.8694444444444445,0.3977211584488665,3.164470575112104,6608306072.44876,3.9578109228546055e-05,1949891.0172546934,0.926037301652087
