Cmax,Bexp,Alpha,Ks,Kq,Obj_Func
2148.5679289153195,0.3339237078654331,0.8229999612259427,0.21131210033083855,0.0001,1.1654590927494246
2401.740384935748,0.16804775372949188,0.8129365697715294,0.21503345689627834,0.0001,1.1223443858698483
10000.0,0.07223889158672049,0.3875128615644812,0.001,0.5243395210256528,1.799414989887394
2402.042745000286,0.16788116495472455,0.8129271220419411,0.21506073235296472,0.0001,1.1223444654293775
2401.800955213539,0.1680059562779462,0.8129554976615002,0.21504847595119603,0.0001,1.1223443728625735
2402.051727442909,0.16785966957067358,0.8129406512300298,0.21503708352851003,0.0001,0.32323471756313493
2369.444154286722,0.1757919988786059,0.8158472614688699,0.2164244595253424,0.0001,0.323494739448081
2401.9029730995117,0.16796383051267533,0.8129412961962662,0.2149637869411347,0.0001,0.32323469398962623
2401.8515088978575,0.16798261218263452,0.812930907109185,0.21507085152389058,0.0001,0.3232346762988054
2402.1820104820054,0.16788719383702078,0.8129441885787734,0.21499587190268427,0.0001,0.3232348351498071
