Cmax,Bexp,Alpha,Ks,Kq,Obj_Func
1919.0925078832163,0.2493477878898295,0.44541545821519973,0.29504312136349853,0.00866915537783285,2.132776912069684
1875.8471820445031,0.2578090701057086,0.44813928478395004,0.2604920420370431,0.008301602111442645,2.1491456611932596
1920.09761155983,0.24915459159709966,0.44429388725211855,0.29432312519297843,0.00869180713281691,2.132787487426319
3170.3307696559423,0.3165537640647732,0.38445278319153925,0.30437492323036397,0.09563648507781691,2.31570998287268
3171.885867625874,0.31681848743111335,0.38530882187164917,0.30490806943243715,0.09594901037185209,2.3157057871512428
1918.625864390496,0.24958650030373708,0.44568646427966374,0.294991991392494,0.008667782653239193,0.23778068212532033
3143.425420628107,0.31707829307396146,0.36976878141871283,0.29493631507931145,0.08369453528314301,0.2807691884219614
3167.964161665674,0.3169533932538194,0.38507693603536014,0.30438297716038737,0.09463206838434546,0.2803243984191293
3175.5317048463844,0.3166043703119709,0.37805009077361623,0.30060606841025556,0.09470811611844474,0.28035294598690064
3179.8014149413793,0.3162920587244121,0.38895363876416406,0.307690720201884,0.1,0.2803628510563197
