Cmax,Bexp,Alpha,Ks,Kq,Obj_Func
319.3165560470697,0.14807258896772843,0.5520262368979907,0.021043525323105515,0.727395379689294,1.5012299884077314
596.0197194642523,0.43996808723599923,0.7155462430656085,0.03436359012205332,0.7006642321407188,1.5383255446042432
580.3461201656405,0.44403941448776535,0.7175222650098703,0.030993284263250393,0.6961915014081846,1.5379764324253442
319.2036761869689,0.14826014949161642,0.5521253057939483,0.02100225992332441,0.7271626950821287,1.5012303317631053
579.2693261242501,0.4428203661930587,0.7162551880088206,0.030959917437548806,0.696339259994789,1.5379758596193562
580.3917153460361,0.4436013733582911,0.7173982315520876,0.031089209366767692,0.696152745392561,0.31802681521034026
319.3052951267776,0.14809677144335526,0.552133053798325,0.021032524122459394,0.7272132750373352,0.3030115711392606
319.31400647331554,0.14801250982426586,0.5521198615619192,0.021019197564767767,0.7273342709079053,0.3030115444659498
319.3480867035432,0.1478661707973541,0.5521022892132121,0.02103184729864123,0.7273185676831736,0.3030115567591025
581.165340717351,0.44397193255649087,0.7165963416464863,0.031371654983694854,0.6968466603337683,0.3180280407692663
