Cmax,Bexp,Alpha,Ks,Kq,Obj_Func
3441.341679661001,0.1873543526788038,0.7010148725593995,0.1891076241155519,1e-05,1.5931208246078985
3441.0211276981104,0.1874617335901161,0.701149251491922,0.18915404506361708,1e-05,1.593120990185095
7217.7298801318075,0.09911999386612401,0.01,0.18611763639106846,0.07636720380405217,1.9314044887019164
3441.9600039089582,0.187264037363581,0.7009653965216465,0.1890276510371228,1e-05,1.5931210601171681
3445.8912259436643,0.18734353440805615,0.7012190652561044,0.1910480313179281,1e-05,1.5931814081935396
3329.6240998029325,0.24454832685477715,0.7301939378804865,0.18951711225454113,1e-05,0.27638035184632775
3437.719798665841,0.18693485180743397,0.6988141559811881,0.18613613963206357,1e-05,0.268868085510031
3403.509136131215,0.20326897838796498,0.7247539854678337,0.20019346443622377,1e-05,0.27216619375538087
3441.575432694765,0.18736519362509804,0.7010518466863325,0.18908833173626435,1e-05,0.2688030488565769
3440.988170336399,0.18744934501816868,0.7009211580821011,0.1889755474032153,1e-05,0.2688032756564911
