Cmax,Bexp,Alpha,Ks,Kq,Obj_Func
189.30744059565706,0.6247196452647116,0.5085633310363361,0.01964459386135046,0.5921787307207295,1.464494515864
189.3615753587437,0.6249999608301832,0.5087844726233144,0.019627615105426217,0.5920528773683057,1.464494584743503
189.3064584312779,0.624518019822631,0.5084839604020882,0.019635951627191905,0.5920932039183985,1.4644946416678126
189.5425998764633,0.6244010623991337,0.5087074117811524,0.019692939319427914,0.5921652504415118,1.4644948888200804
189.35430277665313,0.6248712830340424,0.5085271680724749,0.0196456000075686,0.5922325594421715,1.4644945393019613
189.2598388652855,0.624480967129557,0.508569197069899,0.019661030114088932,0.5922045315843505,0.3927902716353701
189.03058161525013,0.6241762411543683,0.5083804291525695,0.019626338556884733,0.592372350713595,0.39279048265544414
189.61283034633334,0.6274893017357693,0.5083895769069988,0.01965492910314344,0.5921203381568019,0.392790761347537
189.34767542482467,0.6245189246837816,0.5086372024884845,0.01968784665924325,0.592103360136834,0.39279033748914577
189.45135666584997,0.6240792428239815,0.5088025187659575,0.019670551272280883,0.5922715582863405,0.3927904072640074
