Cmax,Bexp,Alpha,Ks,Kq,Obj_Func
930.702803654473,0.1004109160815874,0.5916923419674208,0.001,0.7447639506008495,2.1257760365293827
930.7139100010086,0.10041637538356941,0.5917302766949735,0.001,0.7448275521658853,2.125776015101437
930.6999728594358,0.10043775905733891,0.5918056931020833,0.001,0.7447875140449303,2.125776049223632
930.6253828728886,0.1004482223156361,0.5914907837778023,0.001,0.7449227761500697,2.125776083865507
930.6590184888133,0.10044505322542384,0.5915476042766871,0.001,0.7448774183038743,2.1257760281293856
968.8095384126779,0.10469185779654469,0.6147194653786816,0.001,0.74847710474132,0.5516519992979627
997.204116898813,0.0938597652985353,0.6157625252305823,0.001,0.7559357802461109,0.5541747004767947
930.7852097390098,0.10042293456718605,0.5917307864485609,0.001,0.7448894991079208,0.548314799128197
964.0278743460618,0.10517048535258768,0.610265991332544,0.001,0.7480226109618751,0.5516297304702483
930.6845737483868,0.10038953977550541,0.5916657677028376,0.001,0.7448304408354798,0.5483147767860433
