Cmax,Bexp,Alpha,Ks,Kq,Obj_Func
1511.0438965623848,0.005417824862519012,0.3913024484645174,0.4330387499807095,0.0053839367420778364,8.598100073614555
1517.0740277112664,0.0001,0.39105613082022306,0.43578015083529736,0.05508603039576785,8.569970877770816
1516.88814257389,0.0001,0.3910034182128017,0.4356472034499359,0.05502260284700516,8.569970613439486
1516.9894985114584,0.00010452793455178317,0.39098443899660273,0.43570042167297407,0.055031440580279437,8.569970585661043
1516.547806807153,0.0002476664967313807,0.3911831044403858,0.43577792633543194,0.05498292174861262,8.569971333647379
1516.798158586535,0.0001,0.3911122494298145,0.43574956729696396,0.055118587614481865,0.5478800842309776
1950.579775341476,0.060592000755554765,0.11824747545739789,0.4178160795077659,0.06273701259258932,0.5627995405891271
1511.2003706945675,0.005408855477564424,0.39100261009746545,0.4327910106895777,0.005393770433659004,0.5514825652471786
1517.0596791992323,0.00016774644075872344,0.39078675019442716,0.4355788984266147,0.05494596945085512,0.5478800494830444
1516.997960404028,0.0001,0.39079846361082815,0.43571001523997765,0.05500557243517643,0.5478800819397741
