lam,Smax,b,alpha,Perc,beta,gamma,S2max,k1,k2,Obj_Func
0.0001,1491390582.7948012,35.7566088613199,0.5786151796975906,1288541.6666666667,0.001,49.93807270330467,965563749.0570173,4.215735081330238e-06,266876.5586140647,4.894476328205044
0.0001,18554999817.03231,12.055320812747384,0.95,237272.68640456788,0.001,28.448876454614954,1869522413.5850592,0.00024289543452503474,374145.18106789887,4.905701016579666
0.0001,18555000000.0,12.0902714198231,0.8012625470525616,238907.9944388232,0.001,33.82276247013677,3420856025.8282475,0.00024225780552091498,97912.26219712279,4.905694688868204
0.0001,18555000000.0,50.0,0.4710128628442479,740944.7710214895,0.001,14.800670343661356,1271576055.9401886,6.00002098736576e-05,739522.9181534976,4.882933225669123
0.0001,18555000000.0,11.141170343642917,0.26709118732507253,223451.20606419427,0.001,38.517853449073506,392025284.9172327,0.00025988944085534693,491931.76304814796,4.905806450027775
0.0001,18554967862.864704,49.99999924232037,0.3945134755060524,839319.5264939185,0.001,13.895384379395791,787342232.892884,5.360833455049716e-05,898852.017977722,0.9261004984067434
0.0001,14754009161.232042,3.5028089592450984,0.16050040394440762,429.5138888888889,0.1766014832856465,24.84411995952458,1855186109.5712464,0.0006734997933686644,250847.20298422346,0.9388278497096796
2.581225420693051,2623298015.837061,0.30464931537429485,0.17860843435270135,429.5138888888889,0.001,13.498863336194628,184161909.3247926,6.0777878685670565e-06,665543.4924432753,0.9016014985195365
0.0001,18555000000.0,13.570718448418365,0.95,354093.29310583347,0.001,31.099198257039696,867867195.8687631,0.00020178968701364244,1272588.9641535562,0.9330301138150562
0.0001,13205930025.391493,50.0,0.3306258069829097,1288541.6666666667,0.001,50.0,10413579.53724735,3.625104751724099e-05,1288541.6666666667,0.9358263758475511
