lam,Smax,b,alpha,Perc,beta,gamma,S2max,k1,k2,sigma,alpah_correl,Obj_Func
8.282885803517233,3472977096.8472624,111.72017375585271,0.3781696571543136,37346.51977043344,1.0243124443947145,3.8130794332134212,1037381481.9638346,1.1574074074074074e-09,1384022.5725959428,2.409321593211913,0.2076489395519727,4.093917730465276
1e-05,5766573140.127948,26.1107115267525,0.8570638579165915,42441.31156039991,0.9034777191191833,28.422938753739995,1037551948.6145008,1.1574074074074074e-09,3691313.0876555536,5.744848708430775,0.10885553999628148,3.8677865592410985
1e-05,3946747431.2972355,94.98282508793912,0.22055811352796661,38709.06573640802,1e-05,47.348915422282566,948994813.2577477,6.738994112691783e-07,917722.4162578426,2.215014766657425,0.2891340416191863,0.7581254748655827
1e-05,4423945898.8024235,160.7063593386575,0.5624868562307312,258.9743145300741,0.32091639271634903,29.05309029418556,639838385.8733146,1.1574074074074074e-09,929165.7903906824,9.996720608244605,0.11160441506931056,3.1192634996628925
0.24564532609530704,1957411692.0168915,0.0001,0.47315920563440356,38737.96636979066,1e-05,25.541865470820625,38846308.8037401,8.764226367519589e-05,837437.9743667793,6.896534801902666,0.40876960541029117,0.993934474396771
